title;author_name;text;labels;
Uncle Tom's Cabin;Harriet Beecher Stowe;Late in the afternoon of a chilly day in February, two gentlemen were sitting alone over their wine, in a well-furnished dining parlor, in the town of PÑÑ, in Kentucky. There were no servants present, and the gentlemen, with chairs closely approaching, seemed to be discussing some subject with great earnestness.;0;
Crime and Punishment;Fyodor Dostoyevsky;On an exceptionally hot evening early in July a young man came out of the garret in which he lodged in S. Place and walked slowly, as though in hesitation, towards K. bridge.;1;
Madame Bovary: Patterns of Provincial life;Gustave Flaubert;We were in class when the head-master came in, followed by a Ònew fellow,Ó not wearing the school uniform, and a school servant carrying a large desk. Those who had been asleep woke up, and every one rose as if just surprised at his work.;1;
The Return of the King;J.R.R. Tolkien;Pippin looked out from the shelter of GandalfÕs cloak. He wondered if he was awake or still sleeping, still in the swift-moving dream in which he had been wrapped so long since the great ride began. The dark world was rushing by and the wind sang loudly in his ears. He could see nothing but the wheeling stars;1;
Dracula;Bram Stoker;"Left Munich at 8:35ÊP. M., on 1st May, arriving at Vienna early next morning; should have arrived at 6:46, but train was an hour late. Buda-Pesth seems a wonderful place, from the glimpse which I got of it from the train and the little I could walk through the streets. I feared to go very far from the station";1;
The Three Musketeers;Alexandre Dumas;OnÊthe first Monday of the month of April, 1625, the market town of Meung, in which the author ofÊRomance of the RoseÊwas born, appeared to be in as perfect a state of revolution as if the Huguenots had just made a second La Rochelle of it. Many citizens, seeing the women flying toward the High Street;1;
Brave New World;Aldous Huxley;A SQUAT grey building of only thirty-four stories. Over the main entrance the words, CENTRAL LONDON HATCHERY AND CONDITIONING CENTRE, and, in a shield, the World StateÕs motto, COMMUNITY, IDENTITY, STABILITY;1;
War and Peace;Leo Tolstoy;Well, Prince, so Genoa and Lucca are now just family estates of the Buonapartes. But I warn you, if you donÕt tell me that this means war, if you still try to defend the infamies and horrors perpetrated by that AntichristÑI really believe he is Antichrist;1;
To Kill a Mockingbird;Harper Lee;"When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow. When it healed, and JemÕs fears of never being able to play football were assuaged, he was seldom self-conscious about his injury. His left arm was somewhat shorter than his right; when he stood or walked";0;
The Wizard of Oz;L. Frank Baum;"Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmerÕs wife. Their house was small, for the lumber to build it had to be carried by wagon many miles. There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cookstove";1;
Les MisŽrables;Victor Hugo;"In 1815, M. Charles-Francois-Bienvenu Myriel was Bishop of D---- He was an old man of about seventy-five years of age; he had occupied the see  of D---- since 1806.";1;
The Secret Garden;Frances Hodgson Burnett;When Mary Lennox was sent to Misselthwaite Manor to live with her uncle everybody said she was the most disagreeable-looking child ever seen. It was 1, too. She had a little thin face and a little thin body, thin light hair and a sour expression. Her hair was yellow, and her face was yellow because she had been born in India and had always been ill in one way or another. ;0;
Animal Farm;George Orwell;Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the popholes. With the ring of light from his lantern dancing from side to side, he lurched across the yard, kicked off his boots at the back door;1;
The Great Gatsby;F. Scott Fitzgerald;In my younger and more vulnerable years my father gave me some advice that IÕve been turning over in my mind ever since. ÔWhenever you feel like criticizing any one,Õ he told me, Ôjust remember that all the people in this world havenÕt had the advantages that youÕve had.Õ;1;
The Little Prince;Antoine de Saint-ExupŽry;Once when I was six years old I saw a magnificent picture in a book, called 1 Stories from Nature, about the primeval forest. It was a picture of a boa constrictor in the act of swallowing an animal. Here is a copy of the drawing.;1;
The Call of the Wild;Jack London;Buck's  first day on the Dyea beach was like a nightmare. Every hour was filled with shock and surprise. He had been suddenly jerked from the heart of civilization and flung into the heart of  things primordial. No lazy, sun-kissed life was this, with nothing to do but loaf and be bored.;1;
The Thorn Birds;Colleen McCullough;On December 8th, 1915, Meggie Cleary had her fourth birthday. After the breakfast dishes were put away her mother silently thrust a brown paper parcel into her arms and ordered her outside.;0;
The Tenant of Wildfell Hall;Anne Bront‘;"You must go back with me to the autumn of 1827. My father, as you know, was a sort of gentleman farmer in ÑÑshire; and I, by his express desire, succeeded him in the same quiet occupation, not very willingly, for ambition urged me to higher aims";0;
Regarding the pain of others;Susan Sontag;"In June 1938 Virginia Woolf published Three Guineas, her brave, 
unwelcomed reflections on the roots of war. Written during the 
preceding two years, while she and most of her intimates and fellow 
writers were rapt by the advancing fascist insurrection in Spain";0;
The Wonderful Adven1s of Nils;Selma Lagerlšf;"Once there was a boy. He wasÑlet us sayÑsomething like fourteen years old; long and loose-jointed and towheaded. He wasn't good for much, that boy. His chief delight was to eat and sleep; and after thatÑhe liked best to make mischief.";0;
The Guns of August;Barbara W. Tuchman;"So GORGEOUS WAS THE SPECTACLE ON THE MAY morning of 1910 when nine kings rode 
in the funeral of Edward VII of England that the crowd, waiting in hushed and blackclad awe, could not keep back gasps of admiration.";0;
The Scarlet Pimpernel;Emma Orczy;A surging, seething, murmuring crowd of beings that are human only in name, for to the eye and ear they seem naught but savage creatures, animated by vile passions and by the lust of vengeance and of hate.;0;
Collected Stories;Katherine Anne Porter;Mar’a Concepci—n walked carefully, keeping to the middle of the white dusty road, where the maguey thorns and the treacherous curved spines of organ cactus had no gathered so profusely.;0;
The Days of Abandonment;Elena Ferrante;"One April afternoon, right after lunch, my husband announced that he wanted to leave me. He did it while we were clearing the table; the children were quarreling as usual in the next room, the dog was dreaming, growling beside the radiator.";0;
The Secret History;Donna Tartt;"Does such a thing as ""the fatal flaw"", that showy dark crack running down the middle of a life, exist outside literature? I used to think it didn't. Now I think it does. And I think that mine is this: a morbid longing for the picturesque at all costs.";0;
The Foundling;Georgette Heyer;When the young gentleman strolling through the park with his gun on his shoulder and an elderly spaniel at his heels came withing sight of the house it occurred to him that the hour must be farther advanced than he had supposed;0;
Wide Sargasso Sea;Jean Rhys;They say when trouble comes close ranks, and so the white people did. But we were not in their ranks. The Jamaican ladies had never approved of my mother, 'because she prettuy like pretty self' Christophine said.;0;
The Lover;Marguerite Duras;One day, I was already old, in the entrance of a public place a man came up to me. He introduced himself and said, ÒIÕve known you for years. Everyone says you were beautiful when you were young, but I want to tell you I think youÕre more beautiful now than then. Rather than your face as a young woman, I prefer your face as it is now. Ravaged.Ó;0;
An American Childhood;Annie Dillard;When everything else has gone from my brain --the Presindet's name, the state capitals, the neighborhoods where I lived, and then my own name and what it was on earth I sought, and the at length the faces of my friend, and finally the faces of my family.;0;
Moving the Mountain;Charlotte Perkins Gilman;"ONE of the most distinctive features of the human mind is to forecast better things. ""We look before and after And pine for what Is not."" ";0;
The Magic Toyshop;Angela Carter;The summer she was fifteen, Melanie discovered she was made of flesh and blood. O, my America, my new found land. She embarked on a tranced voyage, exploring the whole of herself, clambering her own mountain ranges.;0;
Ivanhoe;Walter Scott;In that pleasant district of merry England which is watered by the river Don, there extended in ancient times a large forest, covering the greater part of the beautiful hills and valleys which lie between Sheffield and the pleasant town of Doncaster.;1;
The Red Badge of Courage;Stephen Crane;The cold passed reluctantly from the earth, and the retiring fogs revealed an army stretched out on the hills, resting. As the landscape changed from brown to green, the army awakened, and began to tremble with eagerness at the noise of rumors.;1;
Teaching to transgress;Bell Hooks;In the weeks before the English Departrnent at Oberlin College was about to decide whether or not I would be granted tenure, I was haunted by dreams of running away-of disappearing-yes, even of dying. These dreams were nota response to fear that I would not be granted tenure.;0;
Adam and Eve and Pinch Me;Ruth Rendell;MINTY KNEW IT was a ghost sitting in the chair because she was frightened. If it were only something sheÕd imagined, she wouldnÕt have been afraid. You couldnÕt be when it was something that came out of your own mind. ;0;
Memoirs of Hadrian;Marguerite Yourcenar;My dear Mark, Today I went to see my physician Hermogenes, who has just returned to the Villa from a rather long journey in Asia. No food could be taken before the examination, so we had made the appointment for the early morning hours.;0;
The Mysteries of Udolpho;Ann Radcliffe;On the pleasant banks of the Garonne, in the province of Gascony, stood, in the year 1584, the ch‰teau of Monsieur St. Aubert. From its windows were seen the pastoral landscapes of Guienne and Gascony stretching along the river, gay with luxuriant woods and vine;0;
The White Queen;Phillipa Gregory;In the darkness of the forest the young knight could hear the splashing of the fountain long before he could see the glimmer of moonlight reflected on the still surface.;0;
The Passion;Jeanette Winterson;"It was Napoleon who had such apassionfor chicken that he kept his chefs working around the clock. What a kitchen that was, with birds in every state of undress;some still cold and slung over hooks, some turning slowlyon the spit, but most inwasted piles because he Emperor was busy";0;
The Virgin in the Garden;A. S. Byatt;She had invited Alexander, whether on the spur of the moment or with malice aforethought he did not know, to come and hear Flora Robson do Queen Elizabeth at the National Portrait Gallery.;0;
Woman at point zero;Nawal El Saadawi;This is the story of a real woman. I met her in the Qanatir Prison a few years ago. I was doing research on the personalities of a group of women prisoners and detainees convicted or accused of various offences.;0;
Just Kids;Patti Smith;I was asleep when he died. I had called the hospital to say one more good night, but he had gone under, beneath layers of morphine. I held the receiver and listened to his labored breathing through the phone, knowing I would never hear him again.;0;
Gravity and Grace;Simone Weil;All the natural movements of the soul are controlled by laws analogous to those of physical gravity. Grace is the only exception. We must always expect things to happen in conformity with the laws of gravity unless there is supernatural intervention.;0;
Fire from Heaven;Mary Renault;"The Child was wakened by the knotting of the snake's coils about his waist. For a moment he was frightened; it had squeezed his breathing, and given him a bad dream. But as soon as he was awake, he knew what it was, and pushed his two hands inside the coil.";0;
Wolf Hall;Hilary Mantel;"So now get up.' Flled, dazed, silent, he has fallen; knocked full lenght on the cobbles of the yard. His head turns sideways; his eyes are turned towards the gate, as if someone might arrive to help him out. One blow, properly placed, could kill him now. ";0;
Clan of the Cave Bear;Jean M. Auel;The naked child ran out of the hide-covered lean-to toward the rocky beach at the bend in the small river. It didnÕt occur to her to look back. Nothing in her experience ever gave her reason to doubt the shelter and those within it would be there when she returned.;0;
The Leap;Louise Erdrich;My mother is the surviving half of a blindfold trapeze act, not a fact I think about much even now that she is sightless, the result of encroaching and stubborn cataracts. She walks slowly through her house here in New Hampshire, lightly touching her way along walls and running her hands;0;
Like Water for Chocolate;Laura Esquivel;PREPARATION: Take care to chop the onion fine. To keep from crying when you chop it (which is so annoying!), I suggest you place a little bit on your head.;0;
The woman who fell from the sky;Joy Harjo;We gather at the shore of all knowledge as peoples who where put here by a god who wanted relatives. This god was lonely for touch, and imagined herself as a woman, with children to suckle.;0;
The Bone People;Keri Hulme;He walks down the street. The asphalt reels by him. It is all silence. The silence is music. He is the singer. The people passing smile and shake their heads. He holds a hand out to them.;0;
Circle of Friends;Maeve Binchy;The kitchen was full of the smells of baking. Benny put down her school bag and went on a tour of inspection. 'The cake hasn't been iced yet,' Patsy explained. 'The mistress will do that herself.';0;
The Human Condition;Hannah Arendt;In 1957, an earth-born object made by man was launched into the universe, where for some weeks it circled the earth according to the same laws of gravitation that swing and keep in motion the celestial bodies.;0;
Sons and Lovers;D.H. Lawrence;ÒThe BottomsÓ succeeded to ÒHell RowÓ. Hell Row was a block of thatched, bulging cottages that stood by the brookside on Greenhill Lane. There lived the colliers who worked in the little gin-pits two fields away. The brook ran under the alder trees, scarcely soiled by these small mines, whose coal was drawn to the surface by donkeys that plodded wearily in a circle round a gin.;1;
Charlotte's Web;E.B. White;Where's Papa going with that ax?Ó said Fern to her mother as they were setting the table for breakfast. ÒOut to the hoghouse,Ó replied  Mrs. Arable. ÒSome pigs were born last night.Ó ;1;
The Swiss Family Robinson;Johann David Wyss;For many days we had been tempest-tossed. Six times had the darkness closed over a wild and terrific scene, and returning light as often brought but renewed distress, for the raging storm increased in fury until on the seventh day all hope was lost.;1;
Bleak House;Charles Dickens;London. Michaelmas term lately over, and the Lord Chancellor sitting in Lincoln's Inn Hall. Implacable November weather. As much mud in the streets as if the waters had but newly retired from the face of the earth, and it would not be wonderful to meet a Megalosaurus, forty feet long or so, waddling like an elephantine lizard up Holborn Hill.;1;
Pre Goriot;HonorŽ de Balzac;MADAME VATJQUER, nee de Conflans, is an old lady who for forty years has kept a second-class boarding- house in Paris, a pension bouryeoise, in the Rue Neuve Sainte-Genevieve, between the Latin quarter and the faubourg Saint-Marceau.;1;
Utopia;Thomas More;Henry VIII., the unconquered King of England, a prince adorned with all the virtues that become a great monarch, having some differences of no small consequence with Charles the most serene Prince of Castile, sent me into Flanders, as his ambassador, for treating and composing matters between them.;1;
The History of Tom Jones, a Foundling;Henry Fielding;"An author ought to consider himself, not as a gentleman who gives a private or eleemosynary treat, but rather as one who keeps a public ordinary, at which all persons are welcome for their money. In the former case, it is well known that the entertainer provides what fare he pleases; and though this should be very indifferent, and utterly disagreeable to the taste of his company, they must not find any fault; nay, on the contrary, good breeding forces them outwardly to approve and to commend whatever is set before them. Now the contrary of this happens to the master of an ordinary.";1;
Harry Potter and the Prisoner of Azkaban;J.K. Rowling;Harry Potter was a highly unusual boy in many ways. For onething, he hated the summer holidays more than any other time ofÊyear. For another, he really wanted to do his homework, but wasforced to do it in secret, in the dead of night. And he also hap-pened to be a wizard.;0;
Kim;Rudyard Kipling;He sat, in defiance of municipal orders, astride the gun Zam Zammah on her brick platform opposite the old Ajaib-GherÑthe Wonder House, as the natives call the Lahore Museum. Who hold Zam-Zammah, that Òfire-breathing dragonÓ, hold the Punjab, for the great green-bronze piece is always first of the conquerorÕs loot.;1;
The Sound and the Fury;William Faulkner;Through the fence, between the curling flower spaces, I could see them hitting. They were coming toward where the flag was and I went along the fence. Luster was hunting in the grass by the flower tree. They took the flag out, and they were hitting. Then they put the flag back and they went to the tablem and he hit and the other hit. ;1;
Harry Potter and the Goblet of Fire;J.K. Rowling;"The villagers of Little Hangleron still called it ""the Riddle House,"" even though it had been many years since the Riddle family had lived there. It stood on a hill overlooking the village, some of its windows boarded, tiles missing from its roof, and ivy spreading unchecked over its face. Once a fine-looking manor, and easily the largest and grandest building for miles around, the Riddle House was now damp, derelict, and unoccupied.";0;
The Mill on the Floss;George Eliot;A wide plain, where the broadening Floss hurries on between its green banks to the sea, and the loving tide, rushing to meet it, checks its passage with an impetuous embrace. On this mighty tide the black shipsÑladen with the fresh-scented fir-planks, with rounded sacks of oil-bearing seed, or with the dark glitter of coalÑare borne along to the town of St OggÕs;1;
A Wrinkle in Time;Madeleine L'Engle;IT was a dark and stormy night. In her attic bedroom Margaret Murry, wrapped in an old patchwork quilt, sat on the foot of her bed and watched the trees tossing in the frenzied lashing of the wind. Behind the trees clouds scudded frantically across the sky. Every few moments the moon ripped through them, creating wraith-like shadows that raced along the ground.;0;
The Hound of the Baskervilles;Arthur Conan Doyle;Mr. Sherlock Holmes, who was usually very late in the mornings, save upon those not infrequent occasions when he was up all night, was seated at the breakfast table. I stood upon the hearth-rug and picked up the stick which our visitor had left behind him the night before. It was a fine, thick piece of wood, bulbous-headed, of the sort which is known as a ÒPenang lawyer.ÓÊ;1;
The Two Towers;J.R.R. Tolkien;Aragorn sped on up the hill. Every now and again he bent to the ground. Hobbits go light, and their footprints are not easy even for a Ranger to read, but not far from the top a spring crossed the path, and in the wet earth he saw what he was seeking.;1;
The War of the Worlds;H.G. Wells;"No one would have believed in the last years of the nineteenth century that this world was being watched keenly and closely by intelligences greater than manÕs and yet as mortal as his own; that as men busied themselves about their various concerns they were scrutinised and studied, perhaps almost as narrowly as a man with a microscope might scrutinise the transient creatures that swarm and multiply in a drop of water.";1;
Middlemarch;George Eliot;"Miss Brooke had that kind of beauty which seems to be thrown into relief by poor dress. Her hand and wrist were so finely formed that she could wear sleeves not less bare of style than those in which the Blessed Virgin appeared to Italian painters; and her profile as well as her stature and bearing seemed to gain the more dignity from her plain garments";1;
The Age of Innocence;Edith Wharton;"On a January evening of the early seventies, Christine Nilsson was singing in Faust at the Academy of Music in New York. Though there was already talk of the erection, in remote metropolitan distances ""above the Forties,"" of a new Opera House which should compete in costliness and splendour with those of the great European capitals, the world of fashion was still content to reassemble every winter in the shabby red and gold boxes of the sociable old Academy.";0;
The Color Purple;Alice Walker;Whatever else The Color Purple has been taken for during the years since its publication, it remains for me the theological  work examining the journey from the religious back to the spiritual that I spent much of my adult life, prior to writing it,  seeking to avoid. Having recognized myself as a worshiper of Nature by the age of eleven, because my spirit resolutely  wandered out the window to find trees and wind during Sunday sermons, I saw no reason why, once free, I should bother  with religious matters at all.;0;
Northanger Abbey;Jane Austen;No one who had ever seen Catherine Morland in her infancy would have supposed her born to be an heroine. Her situation in life, the character of her father and mother, her own person and disposition, were all equally against her. Her father was a clergyman, without being neglected, or poor, and a very respectable man, though his name was RichardÑand he had never been handsome;0;
East of Eden;John Steinbeck;The Salinas Valley is in Northern California. It is a long narrow swale between tworanges of mountains, and the Salinas River winds and twists up the center until it falls atlast into Monterey Bay.;1;
On the Road;Jack Kerouac;I first met Dean not long after my wife and I split up. I had just gotten over a serious illness that I wonÕt bother to talk about, except that it had something to do with the miserably weary split-up and my feeling that everything was dead. With the coming of Dean Moriarty began the part of my life you could call my life on the road. Before that IÕd often dreamed of going West to see the country, always vaguely planning and never taking off.;1;
Catch-22;Joseph Heller;It was love at first sight. The first time Yossarian saw the chaplain he fell madly in love with him. Yossarian was in the hospital with a pain in his liver that fell just short of being jaundice. The doctors were puzzled by the fact that it wasnÕt quite jaundice. If it became jaundice they could treat it.;1;
Around the World in Eighty Days;Jules Verne;"Mr. Phileas Fogg lived, in 1872, at No. 7, Saville Row, Burlington Gardens, the house in which Sheridan died in 1814. He was one of the most noticeable members of the Reform Club, though he seemed always to avoid attracting attention; an enigmatical personage, about whom little was known, except that he was a polished man of the world.";1;
Hard Times;Charles Dickens;ÔNow, what I want is, Facts.Ê Teach these boys and girls nothing but Facts.Ê Facts alone are wanted in life.Ê Plant nothing else, and root out everything else.Ê You can only form the minds of reasoning animals upon Facts: nothing else will ever be of any service to them.Ê This is the principle on which I bring up my own children, and this is the principle on which I bring up these children.Ê Stick to Facts, sir!Õ;1;
Beloved;Toni Morrison;124 WAS SPITEFUL. Full of a baby's venom. The women in the house knew it and so did the children. For years each put up with the spite in his own way, but by 1873 Sethe and her daughter Denver were its only victims.;0;
Mrs. Dalloway;Virginia Woolf;"Mrs. Dalloway said she would buy the flowers herself. For Lucy had her work cut out for her. The doors would be taken off their hinges; Rumpelmayer's men were coming. And then, thought Clarissa Dalloway, what a morningÑfresh as if issued to children on a beach.";0;
To the Lighthouse;Virginia Woolf;"""Yes, of course, if it's fine tomorrow,"" said Mrs Ramsay. ""But you'll have to be up with the lark,"" she added. To her son these words conveyed an extraordinary joy, as if it were settled, the expedition were bound to take place, and the wonder to which he had looked forward, for years and years it seemed, was, after a night's darkness and a day's sail, within touch.";0;
The Magician's Nephew;C.S. Lewis;This is a story about something that happened long ago when your grandfather was a child. It is a very important story because it shows how all the comings and goings between our own world and the land of Narnia first began.;1;
Harry Potter and the Order of the Phoenix;J.K. Rowling;"The hottest day of the summer so far was drawing to a close and a drowsy silence lay over the large, square houses of Privet Drive. Cars that were usually gleaming stood dusty in their drives and lawns that were once emerald green lay parched and yellowing; the use of hosepipes had been banned due to drought.";0;
The Sun Also Rises;Ernest Hemingway;Robert Cohn was once middleweight boxing champion of Princeton. Do not think that I am very much impressed by that as a boxing title, but it meant a lot to Cohn. He cared nothing for boxing, in fact he disliked it, but he learned it painfully and thoroughly to counteract the feeling of inferiority and shyness he had felt on being treated as a Jew at Princeton.;1;
The Good Earth;Pearl S. Buck;IT WAS WANG LUNG'S MARRIAGE DAY. AT FIRST,  opening his eyes in the blackness of the curtains about his  bed, he could not think why the dawn seemed different from any other. The house was still except for the faint, gasping cough of his old father, whose room was opposite to his own across the middle room.;0;
Silas Marner;George Eliot;In the days when the spinning-wheels hummed busily in the farmhousesÑand even great ladies, clothed in silk and thread-lace, had their toy spinning-wheels of polished oakÑthere might be seen in districts far away among the lanes, or deep in the bosom of the hills, certain pallid undersized men, who, by the side of the brawny country-folk, looked like the remnants of a disinherited race.;1;
Love in the Time of Cholera;Gabriel Garc’a M‡rquez;IT WAS INEVITABLE: the scent of bitter almonds always reminded him of the fate of unrequited love. Dr. Juvenal Urbino noticed it as soon as he entered the still darkened house where he had hurried on an urgent call to attend a case that for him had lost all urgency many years before.;1;
Rebecca;Daphne Du Maurier;Last night I dreamt  went to Manderley again. It seemed to  me I stood by the iron gate leading to the drive, and for a while I could not enter, for the way was barred to me. There was a padlock and a chain upon the gate. I called in my dream to tfie lodge-keeper, and had no answer, and peering closer tlirough  the rusted spokes of the^ate I saw that the lodge was uninhabited. ;0;
Jude the Obscure;Thomas Hardy;The schoolmaster was leaving the village, and everybody seemed sorry. The miller at Cresscombe lent him the small white tilted cart and horse to carry his goods to the city of his destination, about twenty miles off, such a vehicle proving of quite sufficient size for the departing teacherÕs effects. For the schoolhouse had been partly furnished by the managers, and the only cumbersome article possessed by the master;1;
Twilight;Stephenie Meyer;I'd never given much thought to how I would die Ñ though I'd had reason enough in the last few months Ñ but even if I had, I would not have imagined it like this. ;0;
A Passage to India;E.M. Forster;Except for the Marabar CavesÑand they are twenty miles offÑthe city of Chandrapore presents nothing extraordinary. Edged rather than washed by the river Ganges, it trails for a couple of miles along the bank, scarcely distinguishable from the rubbish it deposits so freely. There are no bathing-steps on the river front, as the Ganges happens not to be holy here;1;
The Plague;Albert Camus;"MOTHER died today. Or, maybe, yesterday; I canÕt be sure. The telegram from the Home says: YOUR MOTHER PASSED AWAY. FUNERAL TOMORROW. DEEP SYMPATHY. Which leaves the matter doubtful; it could have been yesterday.";1;
