title;author_name;text;author_male
Little Women;Louisa May Alcott;"""Christmas won't be Christmas without any presents,"" grumbled Jo, lying on the rug. ""It's so dreadful to be poor!"" sighed Meg, looking down at her old dress. ""I don't think it's fair for some girls to have plenty of pretty things, and other girls nothing at all,"" added little Amy, with an injured sniff. ""We've got father and mother and each other,"" said Beth contentedly, from her corner.";FALSE
Great Expectations;Charles Dickens;My father’s family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So, I called myself Pip, and came to be called Pip.;TRUE
The Hobbit, or, There and Back Again;J.R.R. Tolkien;In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.;TRUE
Frankenstein, or, the Modern Prometheus;Mary Shelley;I am by birth a Genevese, and my family is one of the most distinguished of that republic. My ancestors had been for many years counsellors and syndics, and my father had filled several public situations with honour and reputation. He was respected by all who knew him for his integrity and indefatigable attention to public business.;FALSE
Oliver Twist;Charles Dickens;"Among other public buildings in a certain town, which for many reasons it will be prudent to refrain from mentioning, and to which I will assign no fictitious name, there is one anciently common to most towns, great or small: to wit, a workhouse; and in this workhouse was born; on a day and date which I need not trouble myself";TRUE
Uncle Tom's Cabin;Harriet Beecher Stowe;Late in the afternoon of a chilly day in February, two gentlemen were sitting alone over their wine, in a well-furnished dining parlor, in the town of P——, in Kentucky. There were no servants present, and the gentlemen, with chairs closely approaching, seemed to be discussing some subject with great earnestness.;FALSE
Crime and Punishment;Fyodor Dostoyevsky;On an exceptionally hot evening early in July a young man came out of the garret in which he lodged in S. Place and walked slowly, as though in hesitation, towards K. bridge.;TRUE
Madame Bovary: Patterns of Provincial life;Gustave Flaubert;We were in class when the head-master came in, followed by a “new fellow,” not wearing the school uniform, and a school servant carrying a large desk. Those who had been asleep woke up, and every one rose as if just surprised at his work.;TRUE
The Return of the King;J.R.R. Tolkien;Pippin looked out from the shelter of Gandalf’s cloak. He wondered if he was awake or still sleeping, still in the swift-moving dream in which he had been wrapped so long since the great ride began. The dark world was rushing by and the wind sang loudly in his ears. He could see nothing but the wheeling stars;TRUE
Dracula;Bram Stoker;"Left Munich at 8:35 P. M., on 1st May, arriving at Vienna early next morning; should have arrived at 6:46, but train was an hour late. Buda-Pesth seems a wonderful place, from the glimpse which I got of it from the train and the little I could walk through the streets. I feared to go very far from the station";TRUE
The Three Musketeers;Alexandre Dumas;On the first Monday of the month of April, 1625, the market town of Meung, in which the author of Romance of the Rose was born, appeared to be in as perfect a state of revolution as if the Huguenots had just made a second La Rochelle of it. Many citizens, seeing the women flying toward the High Street;TRUE
Brave New World;Aldous Huxley;A SQUAT grey building of only thirty-four stories. Over the main entrance the words, CENTRAL LONDON HATCHERY AND CONDITIONING CENTRE, and, in a shield, the World State’s motto, COMMUNITY, IDENTITY, STABILITY;TRUE
War and Peace;Leo Tolstoy;Well, Prince, so Genoa and Lucca are now just family estates of the Buonapartes. But I warn you, if you don’t tell me that this means war, if you still try to defend the infamies and horrors perpetrated by that Antichrist—I really believe he is Antichrist;TRUE
To Kill a Mockingbird;Harper Lee;"When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow. When it healed, and Jem’s fears of never being able to play football were assuaged, he was seldom self-conscious about his injury. His left arm was somewhat shorter than his right; when he stood or walked";FALSE
The Wizard of Oz;L. Frank Baum;"Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer’s wife. Their house was small, for the lumber to build it had to be carried by wagon many miles. There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cookstove";TRUE
Les Misérables;Victor Hugo;"In 1815, M. Charles-Francois-Bienvenu Myriel was Bishop of D---- He was an old man of about seventy-five years of age; he had occupied the see  of D---- since 1806.";TRUE
The Secret Garden;Frances Hodgson Burnett;When Mary Lennox was sent to Misselthwaite Manor to live with her uncle everybody said she was the most disagreeable-looking child ever seen. It was true, too. She had a little thin face and a little thin body, thin light hair and a sour expression. Her hair was yellow, and her face was yellow because she had been born in India and had always been ill in one way or another. ;FALSE
Animal Farm;George Orwell;Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the popholes. With the ring of light from his lantern dancing from side to side, he lurched across the yard, kicked off his boots at the back door;TRUE
The Great Gatsby;F. Scott Fitzgerald;In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since. ‘Whenever you feel like criticizing any one,’ he told me, ‘just remember that all the people in this world haven’t had the advantages that you’ve had.’;TRUE
The Little Prince;Antoine de Saint-Exupéry;Once when I was six years old I saw a magnificent picture in a book, called True Stories from Nature, about the primeval forest. It was a picture of a boa constrictor in the act of swallowing an animal. Here is a copy of the drawing.;TRUE
The Call of the Wild;Jack London;Buck's  first day on the Dyea beach was like a nightmare. Every hour was filled with shock and surprise. He had been suddenly jerked from the heart of civilization and flung into the heart of  things primordial. No lazy, sun-kissed life was this, with nothing to do but loaf and be bored.;TRUE
20,000 Leagues Under the Sea;Jules Verne;The year 1866 was signalised by a remarkable incident, a mysterious and puzzling phenomenon, which doubtless no one has yet forgotten. Not to mention rumours which agitated the maritime population and excited the public mind, even in the interior of continents, seafaring men were particularly excited.;TRUE
Anna Karenina;Leo Tolstoy;"Happy families are all alike; every unhappy family is unhappy in its own way. Everything was in confusion in the Oblonskys’ house. The wife had discovered that the husband was carrying on an intrigue with a French girl, who had been a governess in their family, and she had announced to her husband that she could not go on living in the same house with him";TRUE
The Wind in the Willows;Kenneth Grahame;"The Mole had been working very hard all the morning, spring-cleaning his little home. First with brooms, then with dusters; then on ladders and steps and chairs, with a brush and a pail of whitewash; till he had dust in his throat and eyes, and splashes of whitewash all over his black fur, and an aching back and weary arms. ";TRUE
The Picture of Dorian Gray;Oscar Wilde;The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.;TRUE
The Grapes of Wrath;John Steinbeck;TO THE RED COUNTRY and part of the gray country of Oklahoma, the last rains camegently, and they did not cut the scarred earth. The plows crossed and recrossed the rivulet marks.The last rains lifted the corn quickly and scattered weed colonies and grass along the sides of theroads so that the gray country and the dark red country began to disappear under a green cover.;TRUE
Sense and Sensibility;Jane Austen;The family of Dashwood had long been settled in Sussex. Their estate was large, and their residence was at Norland Park, in the centre of their property, where, for many generations, they had lived in so respectable a manner as to engage the general good opinion of their surrounding acquaintance.;FALSE
The Last of the Mohicans;James Fenimore Cooper;It was a feature peculiar to the colonial wars of North America, that the toils and dangers of the wilderness were to be encountered before the adverse hosts could meet. A wide and apparently an impervious boundary of forests severed the possessions of the hostile provinces of France and England.;TRUE
Tess of the d'Urbervilles;Thomas Hardy;On an evening in the latter part of May a middle-aged man was walking homeward from Shaston to the village of Marlott, in the adjoining Vale of Blakemore, or Blackmoor. The pair of legs that carried him were rickety, and there was a bias in his gait which inclined him somewhat to the left of a straight line.;TRUE
Harry Potter and the Sorcerer's Stone;J.K. Rowling;Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to saythat they were perfectly normal, thank you very much. They were the last people you'd expect to be involved in anything strange or mysterious, because they just didn't hold with such nonsense.;FALSE
Heidi;Johanna Spyri;From the old and pleasantly situated village of Mayenfeld, a footpath winds through green and shady meadows to the foot of the mountains, which on this side look down from their stern and lofty heights upon the valley below. The land grows gradually wilder as the path ascends, and the climber has not gone far before he begins to inhale the fragrance of the short grass and sturdy mountain-plants, for the way is steep and leads directly up to the summits above.;FALSE
Ulysses;James Joyce;Stately, plump Buck Mulligan came from the stairhead, bearing a bowl of lather on which a mirror and a razor lay crossed. A yellow dressinggown, ungirdled, was sustained gently behind him on the mild morning air. He held the bowl aloft and intoned: -Introibo ad altare Dei.;TRUE
The Complete Sherlock Holmes;Arthur Conan Doyle;To Sherlock Holmes she is always the woman. I have seldom heard him mention her under any other name. In his eyes she eclipses and predominates the whole of her sex. It was not that he felt any emotion akin to love for Irene Adler. ;TRUE
The Count of Monte Cristo;Alexandre Dumas;On the 24th of February, 1815, the look-out at Notre-Dame de la Garde signalled the three-master, the Pharaon from Smyrna, Trieste, and Naples. As usual, a pilot put off immediately, and rounding the Château d’If, got on board the vessel between Cape Morgiou and Rion island.;TRUE
The Old Man and the Sea;Ernest Hemingway;He was an old man who fished alone in a skiff in the Gulf Stream and he had gone eighty-four days now without taking a fish. In the first forty days a boy had been with him. But after forty days without a fish the boy’s parents had told him that the old man was now definitely and finally salao, which is the worst form of unlucky, and the boy had gone at their orders in another boat;TRUE
The Lion, the Witch, and the Wardrobe;C.S. Lewis;Once there were four children whose names were Peter, Susan, Edmund and Lucy. This story is about something that happened to them when they were sent away from London during the war because of the air-raids. They were sent to the house of an old Professor who lived in the heart of the country, ten miles from the nearest railway station and two miles from the nearest post office.;TRUE
The Hunchback of Notre Dame;Victor Hugo;Three hundred and forty-eight years, six months, and nineteen days ago to-day, the Parisians awoke to the sound of all the bells in the triple circuit of the city, the university, and the town ringing a full peal.;TRUE
Pinocchio;Carlo Collodi;There was once upon a time a piece of wood in the shop of an old carpenter named Master Antonio. Everybody, however, called him Master Cherry, on account of the end of his nose, which was always as red and polished as a ripe cherry. No sooner had Master Cherry set eyes on the piece of wood than his face beamed with delight, and, rubbing his hands together with satisfaction;TRUE
One Hundred Years of Solitude;Gabriel García Márquez;Many years later as he faced the firing squad, Colonel Aureliano Buendía was to rememberthat distant afternoon when his father took him to discover ice. At that time Macondo was a village oftwenty adobe houses, built on the bank of a river of clear water that ran along a bed of polished stones,which were white and enormous, like prehistoric eggs.;TRUE
Ivanhoe;Walter Scott;In that pleasant district of merry England which is watered by the river Don, there extended in ancient times a large forest, covering the greater part of the beautiful hills and valleys which lie between Sheffield and the pleasant town of Doncaster.;TRUE
The Red Badge of Courage;Stephen Crane;The cold passed reluctantly from the earth, and the retiring fogs revealed an army stretched out on the hills, resting. As the landscape changed from brown to green, the army awakened, and began to tremble with eagerness at the noise of rumors.;TRUE
Anne of Green Gables;L.M. Montgomery;"MRS. Rachel Lynde lived just where the Avonlea main road dipped down into a little hollow, fringed with alders and ladies’ eardrops and traversed by a brook that had its source away back in the woods of the old Cuthbert place; it was reputed to be an intricate, headlong brook in its earlier course through those woods";FALSE
Black Beauty;Anna Sewell;"The first place that I can well remember was a large pleasant meadow with a pond of clear water in it. Some shady trees leaned over it, and rushes and water-lilies grew at the deep end. Over the hedge on one side we looked into a plowed field, and on the other we looked over a gate at our master's house, which stood by the roadside; at the top of the meadow was a grove of fir trees, and at the bottom a running brook overhung by a steep bank.";FALSE
Peter Pan;J.M. Barrie;All children, except one, grow up. They soon know that they will grow up, and the way Wendy knew was this. One day when she was two years old she was playing in a garden, and she plucked another flower and ran with it to her mother. I suppose she must have looked rather delightful, for Mrs. Darling put her hand to her heart and cried;TRUE
A Farewell to Arms;Ernest Hemingway;In the late summer of that year we lived in a house in a village that looked across the river and the plain to the mountains. In the bed of the river there were pebbles and boulders, dry and white in the sun, and the water was clear and swiftly moving and blue in the channels. Troops went by the house and down the road and the dust they raised powdered the leaves of the trees.;TRUE
The House of the Seven Gables;Nathaniel Hawthorne;"Halfway down a by-street of one of our New England towns stands a rusty wooden house, with seven acutely peaked gables, facing towards various points of the compass, and a huge, clustered chimney in the midst. The street is Pyncheon Street; the house is the old Pyncheon House; and an elm-tree";TRUE
Lord of the Flies;William Golding;The boy with fair hair lowered himself down the last few feet of rock and began to pick his way toward the lagoon. Though he had taken off his school sweater and trailed it now from one hand, his grey shirt stuck to him and his hair was plastered to his forehead. All round him the long scar smashed into the jungle was a bath of heat;TRUE
The Prince and the Pauper;Mark Twain;In the ancient city of London, on a certain autumn day in the second quarter of the sixteenth century, a boy was born to a poor family of the name of Canty, who did not want him. On the same day another English child was born to a rich family of the name of Tudor, who did want him. All England wanted him too. England had so longed for him, and hoped for him, and prayed God f;TRUE
A Portrait of the Artist as a Young Man;James Joyce;Once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo.... His father told him that story: his father looked at him through a glass: he had a hairy face.;TRUE
Lord Jim;Joseph Conrad;He was an inch, perhaps two, under six feet, powerfully built, and he advanced straight at you with a slight stoop of the shoulders, head forward, and a fixed from-under stare which made you think of a charging bull. His voice was deep, loud, and his manner displayed a kind of dogged self-assertion which had nothing aggressive in it.;TRUE
Harry Potter and the Chamber of Secrets;J.K. Rowling;Not for the ﬁrst time, an argument had broken out overbreakfast at number four, Privet Drive. Mr. Vernon Durs-ley had been woken in the early hours of the morning by a loud,hooting noise from his nephew Harry’s room. “ird time this week!” he roared across the table. “If you can’tcontrol that owl, it’ll have to go!”;FALSE
The Red & the Black;Stendhal;The little town of Verrières can pass for one of the prettiest in Franche-Comté. Its white houses with their pointed red-tiled roofs stretch along the slope of a hill, whose slightest undulations are marked by groups of vigorous chestnuts. The Doubs flows to within some hundred feet above its fortifications, which were built long ago by the Spaniards, and are now in ruins.;TRUE
The Stranger;Albert Camus;"Mother died today. Or, maybe, yesterday; I can’t be sure. The telegram from the Home says: your MOTHER PASSED AWAY. FUNERAL TOMORROW. DEEP sympathy. Which leaves the matter doubtful; it could have been yesterda";TRUE
The Trial;Franz Kafka;Someone must have been telling lies about Josef K., he knew he had done nothing wrong but, one morning, he was arrested. Every day at eight in the morning he was brought his breakfast by Mrs. Grubach's cook—Mrs. Grubach was his landlady—but today she didn't come. That had never happened before. K. waited a little while, looked from his pillow at the old woman who lived opposite and who was watching him with an inquisitiveness quite unusual for her, and finally, both hungry and disconcerted, rang the bell. ;TRUE
Lady Chatterley's Lover;D.H. Lawrence;Ours is essentially a tragic age, so we refuse to take it tragically. The cataclysm has happened, we are among the ruins, we start to build up new little habitats, to have new little hopes. It is rather hard work: there is now no smooth road into the future: but we go round, or scramble over the obstacles. We've got to live, no matter how many skies have fallen.;TRUE
Kidnapped: The Adventures of David Balfour;Robert Louis Stevenson;"I will begin the story of my adventures with a certain morning early in the month of June, the year of grace 1751, when I took the key for the last time out of the door of my father’s house. The sun began to shine upon the summit of the hills as I went down the road; and by the time I had come as far as the manse, the blackbirds were whistling in the garden lilacs, and the mist that hung around the valley in the time of the dawn was beginning to arise and die away.";TRUE
The Catcher in the Rye;J.D. Salinger;If you really want to hear about it, the first thing you'll probably want to know is where I was born, an what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth. In the first place, that stuff bores me, and in the second place, my parents would have about two hemorrhages apiece if I told anything pretty personal about them.;TRUE
Fahrenheit 451;Ray Bradbury;IT WAS A PLEASURE TO BURN. IT was a special pleasure to see things eaten, to see things blackened and changed. With the brass nozzle in his fists, with this great python spitting its venomous kerosene upon the world, the blood pounded in his head, and his hands were the hands of some amazing conductor playing all the symphonies of blazing and burning to bring down the tatters and charcoal ruins of history.;TRUE
A Journey to the Center of the Earth;Jules Verne;Looking back to all that has occurred to me since that eventful day, I am scarcely able to believe in the reality of my adventures. They were truly so wonderful that even now I am bewildered when I think of them.;TRUE
Vanity Fair;William Makepeace Thackeray;"As the manager of the Performance sits before the curtain on the boards and looks into the Fair, a feeling of profound melancholy comes over him in his survey of the bustling place. There is a great quantity of eating and drinking, making love and jilting, laughing and the contrary, smoking, cheating, fighting, dancing and fiddling; there are bullies pushing about, bucks ogling the women, knaves picking pockets, policemen on the look-out, quacks (OTHER quacks, plague take them!) bawling in front of their booths, and yokels looking up at the tinselled dancers and poor old rouged tumblers, while the light-fingered folk are operating upon their pockets behind.";TRUE
All Quiet on the Western Front;Erich Maria Remarque;"We are at rest five miles behind the front. Yesterday we were relieved, and now our bellies are full of beef and haricot beans. We are satisfied and at peace. Each man has another mess-tin full for the evening; and, what is more, there is a double ration of sausage and bread. That puts a man in fine trim. We have not had such luck as this for a long time.";TRUE
Gone with the Wind;Margaret Mitchell;Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were. In her face were too sharply blended the delicate features of her mother, a Coast aristocrat of French descent, and the heavy ones of her florid Irish father. But it was an arresting face, pointed of chin, square of jaw.;FALSE
My Ántonia;Willa Cather;LAST summer I happened to be crossing the plains of Iowa in a season of intense heat, and it was my good fortune to have for a traveling companion James Quayle Burden--Jim Burden, as we still call him in the West. He and I are old friends--we grew up together in the same Nebraska town--and we had much to say to each other. While the train flashed through neverending miles of ripe wheat, by country towns and bright-flowered pastures and oak groves wilting in the sun, we sat in the observation car;FALSE
Of Mice and Men;John Steinbeck;A FEW MILES south of Soledad, the Salinas River drops in close to the hillside bank and runs deep and green. The water is warm too, for it has slipped twinkling over the yellow sands in the sunlight before reaching the narrow pool. On one side of the river the golden foothill slopes curve up to the strong and rocky Gabilan mountains;TRUE
The Vicar of Wakefield;Oliver Goldsmith;I was ever of opinion, that the honest man who married and brought up a large family, did more service than he who continued single, and only talked of population. From this motive, I had scarce taken orders a year before I began to think seriously of matrimony, and chose my wife as she did her wedding gown, not for a fine glossy surface, but such qualities as would wear well.;TRUE
A Connecticut Yankee in King Arthur's Court;Mark Twain;“Camelot—Camelot,” said I to myself. “I don’t seem to remember hearing of it before. Name of the asylum, likely.” It was a soft, reposeful summer landscape, as lovely as a dream, and as lonesome as Sunday. The air was full of the smell of flowers, and the buzzing of insects, and the twittering of birds, and there were no people, no wagons, there was no stir of life, nothing going on.;TRUE
White Fang;Jack London;"Dark spruce forest frowned on either side the frozen waterway. The trees 
had been stripped by a recent wind of their white covering of frost, and 
they seemed to lean towards each other, black and ominous, in the fading 
light. A vast silence reigned over the land. ";TRUE
Fathers and Sons;Ivan Sergeevich Turgenev;"In this masterly unromantic novel, Turgenev drew a character, Bazarov, who served to express what he taught us to call Nihilism, and made a movement into a man. In Russia itself the effect of the story was astonishing. The portrait of Bazarov was immediately and angrily resented as a cold travesty. The portraits of the ""backwoodsmen,"" or retired aristocrats, fared no better. Turgenev had indeed roused the ire of both sides, only too surely.";TRUE
Doctor Zhivago;Boris Leonidovich Pasternak;They walked and walked and sang “Memory Eternal,”1 and whenever they stopped, the singing seemed to be carried on by their feet, the horses, the gusts of wind.;TRUE
The Decameron;Giovanni Boccaccio;As often, most gracious ladies, as, taking thought in myself, I mind me how very pitiful you are all by nature, so often do I recognize that this present work will, to your thinking, have a grievous and a weariful beginning, inasmuch as the dolorous remembrance of the late pestiferous mortality, which it beareth on its forefront, is universally irksome to all who saw or otherwise knew it.;TRUE
Nineteen Eighty-Four;George Orwell;It was a bright cold day in April, and the clocks were striking thirteen. Winston Smith, his chin nuzzled into his breast in an effort to escape the vile wind, slipped quickly through the glass doors of Victory Mansions, though not quickly enough to prevent a swirl of gritty dust from entering along with him.;TRUE
The Jungle;Upton Sinclair;"It was four o'clock when the ceremony was over and the carriages began to arrive. There had been a crowd following all the way, owing to the exuberance of Marija Berczynskas. The occasion rested heavily upon Marija's broad shoulders--it was her task to see that all things went in due form, and after the best home traditions; and, flying wildly hither and thither, bowling every one out of the way, and scolding and exhorting all day with her tremendous voice, Marija was too eager to see that others conformed to the proprieties to consider them herself.";TRUE
The Da Vinci Code;Dan Brown;Renowned curator Jacques Sauniere staggered through the vaulted archway of the museum's Grand  Gallery. He lunged for the nearest painting he could see, a Caravaggio. Grabbing the gilded frame,  the seventy-six-year-old man heaved the masterpiece toward himself until it tore from the wall and  Sauniere collapsed backward in a heap beneath the canvas.;TRUE
Persuasion;Jane Austen;"Sir Walter Elliot, of Kellynch Hall, in Somersetshire, was a man who, for his own amusement, never took up any book but the Baronetage; there he found occupation for an idle hour, and consolation in a distressed one; there his faculties were roused into admiration and respect, by contemplating the limited remnant of the earliest patents; there any unwelcome sensations, arising from domestic affairs changed naturally into pity and contempt as he turned over the almost endless creations of the last century";FALSE
Mansfield Park;Jane Austen;About thirty years ago Miss Maria Ward, of Huntingdon, with only seven thousand pounds, had the good luck to captivate Sir Thomas Bertram, of Mansfield Park, in the county of Northampton, and to be thereby raised to the rank of a baronet’s lady, with all the comforts and consequences of an handsome house and large income.;FALSE
Candide;Voltaire;In a castle of Westphalia, belonging to the Baron of Thunder-ten-Tronckh, lived a youth,  whom nature had endowed with the most gentle manners. His countenance was a true picture  of his soul. He combined a true judgment with simplicity of spirit, which was the reason, I apprehend, of his being called Candide. ;TRUE
For Whom the Bell Tolls;Ernest Hemingway;"He lay flat on the brown, pine-needled floor of the forest, his chin on his folded arms, and high overhead the wind blew in the tops of the pine trees. The mountainside sloped gently where he lay; but below it was steep and he could see the dark of the oiled road winding through the pass.";TRUE
Far from the Madding Crowd;Thomas Hardy;When Farmer Oak smiled, the corners of his mouth spread till they were within an unimportant distance of his ears, his eyes were reduced to mere chinks, and diverging wrinkles appeared round them, extending upon his countenance like the rays in a rudimentary sketch of the rising sun.;TRUE
The Fellowship of the Ring;J.R.R. Tolkien;When  Mr.  Bilbo  Baggins  of  Bag  End  announced  that  he would  shortly  be  celebrating  his  eleventy-first  birthday  with a  party  of  special  magnificence,  there  was  much  talk  and  excitement  in  Hobbiton. ;TRUE
The Return of the Native;Thomas Hardy;A Saturday afternoon in November was approaching the time of twilight, and the vast tract of unenclosed wild known as Egdon Heath embrowned itself moment by moment. Overhead the hollow stretch of whitish cloud shutting out the sky was as a tent which had the whole heath for its floor.;TRUE
Sons and Lovers;D.H. Lawrence;“The Bottoms” succeeded to “Hell Row”. Hell Row was a block of thatched, bulging cottages that stood by the brookside on Greenhill Lane. There lived the colliers who worked in the little gin-pits two fields away. The brook ran under the alder trees, scarcely soiled by these small mines, whose coal was drawn to the surface by donkeys that plodded wearily in a circle round a gin.;TRUE
Charlotte's Web;E.B. White;Where's Papa going with that ax?” said Fern to her mother as they were setting the table for breakfast. “Out to the hoghouse,” replied  Mrs. Arable. “Some pigs were born last night.” ;TRUE
The Swiss Family Robinson;Johann David Wyss;For many days we had been tempest-tossed. Six times had the darkness closed over a wild and terrific scene, and returning light as often brought but renewed distress, for the raging storm increased in fury until on the seventh day all hope was lost.;TRUE
Bleak House;Charles Dickens;London. Michaelmas term lately over, and the Lord Chancellor sitting in Lincoln's Inn Hall. Implacable November weather. As much mud in the streets as if the waters had but newly retired from the face of the earth, and it would not be wonderful to meet a Megalosaurus, forty feet long or so, waddling like an elephantine lizard up Holborn Hill.;TRUE
Père Goriot;Honoré de Balzac;MADAME VATJQUER, nee de Conflans, is an old lady who for forty years has kept a second-class boarding- house in Paris, a pension bouryeoise, in the Rue Neuve Sainte-Genevieve, between the Latin quarter and the faubourg Saint-Marceau.;TRUE
